,full_reference_code,Defect,Category,section_name,section_number,sub_section_name,sub_section_number,topic_name,topic_number,sub_topic_name,sub_topic_number,point
319,4.8.1 (a) (i),(a) Reflector defective or damaged: (i) by up to 50% of the reflecting surface,Minor,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,"Presence, condition and operation",1.0,,,(a) (i)
320,4.8.1 (a) (ii),(a) Reflector defective or damaged: (ii) by more than 50% of the reflecting surface,Major,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,"Presence, condition and operation",1.0,,,(a) (ii)
321,4.8.1 (b) (i),(b) Reflector: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,"Presence, condition and operation",1.0,,,(b) (i)
322,4.8.1 (b) (ii),(b) Reflector: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,"Presence, condition and operation",1.0,,,(b) (ii)
323,4.8.2 (a) (i),(a) Reflector: (i) colour or position not in accordance with the requirements,Minor,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,Compliance with requirements,2.0,,,(a) (i)
324,4.8.2 (a) (ii),(a) Reflector: (ii) missing or reflecting white to the rear,Major,"Lamps, reflectors and electrical equipment",4,Rear reflectors,8,Compliance with requirements,2.0,,,(a) (ii)
325,4.9.1 (a) (i),(a) A mandatory tell-tale: (i) for direction indicators or hazard warning missing or inoperative,Minor,"Lamps, reflectors and electrical equipment",4,‘Tell-tales’ mandatory for lighting equipment,9,"Presence, condition and operation",1.0,,,(a) (i)
326,4.9.1 (a) (ii),(a) A mandatory tell-tale: (ii) for main beam headlamp or rear fog lamp missing or inoperative,Major,"Lamps, reflectors and electrical equipment",4,‘Tell-tales’ mandatory for lighting equipment,9,"Presence, condition and operation",1.0,,,(a) (ii)
327,4.9.2 (a),(a) A hazard warning lamp tell-tale is not a flashing light,Minor,"Lamps, reflectors and electrical equipment",4,‘Tell-tales’ mandatory for lighting equipment,9,Compliance with requirements,2.0,,,(a)
328,4.10 (a) (i),(a) A trailer electrical socket: (i) insecure,Minor,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(a) (i)
329,4.10 (a) (ii),(a) A trailer electrical socket: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(a) (ii)
330,4.10 (b) (i),(b) Trailer electrical socket wiring: (i) insulation damaged or deteriorated,Minor,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(b) (i)
331,4.10 (b) (ii),(b) Trailer electrical socket wiring: (ii) insulation damaged or deteriorated and likely to cause a short-circuit,Major,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(b) (ii)
332,4.10 (c) (i),(c) A 13-pin trailer socket: (i) not functioning correctly,Major,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(c) (i)
333,4.10 (c) (ii),(c) A 13-pin trailer socket: (ii) not functioning at all,Dangerous,"Lamps, reflectors and electrical equipment",4,Trailer electrical socket,10,,,,,(c) (ii)
334,4.11 (a) (i),(a) Electrical wiring: (i) insecure or inadequately secured,Minor,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(a) (i)
335,4.11 (a) (ii),(a) Electrical wiring: (ii) insecure and in contact with sharp edges or connectors likely to become disconnected,Major,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(a) (ii)
336,4.11 (a) (iii),"(a) Electrical wiring: (iii) likely to touch hot or rotating parts, drag on the ground or the connectors for braking or steering disconnected",Dangerous,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(a) (iii)
337,4.11 (b) (i),(b) Electrical wiring: (i) slightly deteriorated,Minor,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(b) (i)
338,4.11 (b) (ii),(b) Electrical wiring: (ii) so damaged or deteriorated it is likely to cause a short-circuit,Major,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(b) (ii)
339,4.11 (b) (iii),(b) Electrical wiring: (iii) for braking or steering components extremely deteriorated,Dangerous,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(b) (iii)
340,4.11 (c) (i),(c) Electrical wiring insulation: (i) damaged or deteriorated,Minor,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(c) (i)
341,4.11 (c) (ii),(c) Electrical wiring insulation: (ii) heavily deteriorated,Major,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(c) (ii)
342,4.11 (c) (iii),(c) Electrical wiring insulation: (iii) in such a condition there is an imminent risk of fire or formation of sparks,Dangerous,"Lamps, reflectors and electrical equipment",4,Electrical wiring,11,,,,,(c) (iii)
343,4.13 (a) (i),(a) A battery insecure: (i) but not likely to fall from carrier,Minor,"Lamps, reflectors and electrical equipment",4,Battery(ies),13,,,,,(a) (i)
344,4.13 (a) (ii),(a) A battery insecure: (ii) and likely to fall from carrier or cause a short circuit,Major,"Lamps, reflectors and electrical equipment",4,Battery(ies),13,,,,,(a) (ii)
345,4.13 (b),(b) A battery leaking,Major,"Lamps, reflectors and electrical equipment",4,Battery(ies),13,,,,,(b)
346,5.1.1 (a),(a) An axle fractured or deformed,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Axles,1.0,,,(a)
347,5.1.1 (b) (i),(b) An axle: (i) insecure or with loose fixing bolts,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Axles,1.0,,,(b) (i)
348,5.1.1 (b) (ii),(b) An axle: (ii) insecure such that stability is impaired or functionality affected,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Axles,1.0,,,(b) (ii)
349,5.1.1 (c) (i),(c) An axle: (i) with an unsafe modification,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Axles,1.0,,,(c) (i)
350,5.1.1 (c) (ii),(c) An axle: (ii) modified so that vehicle stability is impaired or axle functionality affected,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Axles,1.0,,,(c) (ii)
351,5.1.2 (a),(a) A stub axle fractured,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(a)
352,5.1.2 (b) (i),(b) A stub axle swivel pin and/or bush: (i) excessively worn,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(b) (i)
353,5.1.2 (b) (ii),(b) A stub axle swivel pin and/or bush: (ii) is so excessive the stub axle is likely to become insecure or directional stability is impaired,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(b) (ii)
354,5.1.2 (c) (i),(c) Movement between the stub axle and axle beam: (i) is excessive,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(c) (i)
355,5.1.2 (c) (ii),(c) Movement between the stub axle and axle beam: (ii) insecure or directional stability is impaired,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(c) (ii)
356,5.1.2 (d) (i),(d) A king pin: (i) loose in the axle beam,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(d) (i)
357,5.1.2 (d) (ii),(d) A king pin: (ii) so loose it is likely to affect directional stability,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Stub axles,2.0,,,(d) (ii)
358,5.1.3 (a) (i),(a) A wheel bearing: (i) with excessive play,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Wheel bearings,3.0,,,(a) (i)
359,5.1.3 (a) (ii),(a) A wheel bearing: (ii) play so excessive it is likely to break up or directional control impaired,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Wheel bearings,3.0,,,(a) (ii)
360,5.1.3 (b) (i),(b) A wheel bearing: (i) excessively rough,Major,"Axles, wheels, tyres and suspension",5,Axles,1,Wheel bearings,3.0,,,(b) (i)
361,5.1.3 (b) (ii),(b) A wheel bearing: (ii) likely to collapse,Dangerous,"Axles, wheels, tyres and suspension",5,Axles,1,Wheel bearings,3.0,,,(b) (ii)
362,5.2.1 (a) (i),"(a) A wheel: (i) with a loose or missing wheel nut, bolt or stud",Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel and hub,1.0,,,(a) (i)
363,5.2.1 (a) (ii),"(a) A wheel: (ii) with more than one loose or missing wheel nut, bolt or stud",Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel and hub,1.0,,,(a) (ii)
364,5.2.1 (b) (i),(b) A spigot mounted wheel hub: (i) excessively worn or damaged,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel and hub,1.0,,,(b) (i)
365,5.2.1 (b) (ii),(b) A spigot mounted wheel hub: (ii) worn or damaged to the extent that wheel security is adversely affected,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel and hub,1.0,,,(b) (ii)
366,5.2.2 (a),(a) Any fracture or welding defect on a wheel,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(a)
367,5.2.2 (b) (i),(b) A tyre retaining ring: (i) not correctly fitted,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(b) (i)
368,5.2.2 (b) (ii),(b) A tyre retaining ring: (ii) likely to come off,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(b) (ii)
369,5.2.2 (c) (i),(c) A wheel: (i) badly distorted or wear between wheel and hub at spigot mounting,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(c) (i)
370,5.2.2 (c) (ii),(c) A wheel: (ii) distorted or worn to the extent the wheel or tyre is likely to become detached,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(c) (ii)
371,5.2.2 (d),(d) A wheel and its fixings not compatible,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Road wheel condition,2.0,,,(d)
372,5.2.3 (a) (i),(a) A tyre: (i) load capacity or speed rating not in accordance with the minimum requirements,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(a) (i)
373,5.2.3 (a) (ii),(a) A tyre: (ii) load capacity insufficient for axle presented weight,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(a) (ii)
374,5.2.3 (b),(b) Tyres on the same axle or on twin wheels are different sizes,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(b)
375,5.2.3 (c),(c) Tyres on the same axle of different structure,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(c)
376,5.2.3 (d) (i),(d) A tyre: (i) with a cut in excess of the requirements deep enough to reach the ply or cords,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(d) (i)
377,5.2.3 (d) (ii),"(d) A tyre: (ii) with a lump, bulge or tear caused by separation or partial failure of its structure, including any lifting of the tread rubber or with cords exposed or damaged",Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(d) (ii)
378,5.2.3 (e),(e) Tyre tread depth not in accordance with the requirements,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(e)
379,5.2.3 (f),(f) A tyre fouling a part of the vehicle,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(f)
380,5.2.3 (g),(g) A recut tyre fitted to a vehicle not permitted to be fitted with recut tyres,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(g)
381,5.2.3 (h),(h) Tyre pressure monitoring system malfunctioning or obviously not working,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(h)
382,5.2.3 (i),(i) A tyre not fitted in compliance with the manufacturer’s sidewall instructions,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(i)
383,5.2.3 (j),(j) A tyre valve seriously damaged or misaligned likely to cause sudden deflation of the tyre,Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(j)
384,5.2.3 (k),(k) A tyre incorrectly seated on the wheel rim,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(k)
385,5.2.3 (l),(l) Tyre obviously under-inflated,Minor,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(l)
386,5.2.3 (m),"(m) A tyre over ten years old is fitted to a front steered axle of a bus, coach, or any axle on a minibus with a single wheel fitment",Dangerous,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(m)
387,5.2.3 (n) (i),(n) A date code illegible: (i) on a tyre fitted to a rear axle of a bus or coach,Minor,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(n) (i)
388,5.2.3 (n) (ii),(n) A date code illegible: (ii) or not visible on a tyre fitted to a front steered axle of a bus or coach or any axle on a minibus with a single wheel fitment,Major,"Axles, wheels, tyres and suspension",5,Wheels and tyres,2,Tyres,3.0,,,(n) (ii)
389,5.3.1 (a) (i),(a) A spring: (i) insecurely attached to chassis or axle,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(a) (i)
390,5.3.1 (a) (ii),(a) A spring: (ii) with fixings loose to the extent that relative movement is visible,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(a) (ii)
391,5.3.1 (b) (i),(b) A spring: (i) or spring component fractured or seriously weakened,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(b) (i)
392,5.3.1 (b) (ii),(b) A spring: (ii) main leaf fractured,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(b) (ii)
393,5.3.1 (c) (i),(c) A spring: (i) missing,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(c) (i)
394,5.3.1 (c) (ii),(c) A spring: (ii) missing and directional control affected,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(c) (ii)
395,5.3.1 (d) (i),(d) A spring: (i) with an unsafe modification,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(d) (i)
396,5.3.1 (d) (ii),(d) A spring: (ii) modified so that the suspension is inoperative,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Springs,1.0,,,(d) (ii)
397,5.3.2 (a) (i),(a) A shock absorber: (i) insecurely attached to chassis or axle,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Shock absorbers,2.0,,,(a) (i)
398,5.3.2 (a) (ii),(a) A shock absorber: (ii) missing or likely to become detached,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Shock absorbers,2.0,,,(a) (ii)
399,5.3.2 (b),(b) A shock absorber damaged to the extent that it does not function or showing signs of severe leakage,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Shock absorbers,2.0,,,(b)
400,5.3.2 (c),(c) A shock absorber bush excessively worn,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Shock absorbers,2.0,,,(c)
401,5.3.2 (d),(d) A shock absorber which has negligible damping effect,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Shock absorbers,2.0,,,(d)
402,5.3.3 (a) (i),(a) A suspension component: (i) insecurely attached to chassis or axle,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(a) (i)
403,5.3.3 (a) (ii),"(a) A suspension component: (ii) missing, likely to become detached or directional stability impaired",Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(a) (ii)
404,5.3.3 (b) (i),(b) A suspension component: (i) excessively damaged or corroded,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(b) (i)
405,5.3.3 (b) (ii),(b) A suspension component: (ii) fractured or likely to fail,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(b) (ii)
406,5.3.3 (c) (i),(c) A suspension component: (i) with an unsafe modification,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(c) (i)
407,5.3.3 (c) (ii),(c) A suspension component: (ii) modified so that the suspension is inoperative or likely to foul other components,Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension arms, rods, struts, sub-frames, anti-roll bars etc.",3.0,,,(c) (ii)
408,5.3.4 (a) (i),"(a) A suspension pin, bush, joint or bearing: (i) excessively worn",Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension joints, pins and bushes",4.0,,,(a) (i)
409,5.3.4 (a) (ii),"(a) A suspension pin, bush, joint or bearing: (ii) likely to become detached",Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension joints, pins and bushes",4.0,,,(a) (ii)
410,5.3.4 (b) (i),(b) A suspension joint dust cover: (i) severely deteriorated,Minor,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension joints, pins and bushes",4.0,,,(b) (i)
411,5.3.4 (b) (ii),(b) A suspension joint dust cover: (ii) missing or no longer prevents the ingress of dirt etc.,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Suspension joints, pins and bushes",4.0,,,(b) (ii)
412,5.3.5 (a),"(a) A gas, air or fluid suspension system inoperative",Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Gas, air and fluid suspension",5.0,,,(a)
413,5.3.5 (b) (i),"(b) A gas, air or fluid suspension system component damaged, modified or deteriorated in a way that: (i) it would adversely affect the functioning of the system",Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Gas, air and fluid suspension",5.0,,,(b) (i)
414,5.3.5 (b) (ii),"(b) A gas, air or fluid suspension system component damaged, modified or deteriorated in a way that: (ii) its function is seriously affected",Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,"Gas, air and fluid suspension",5.0,,,(b) (ii)
415,5.3.5 (c),(c) An obvious leak from any part of the system,Major,"Axles, wheels, tyres and suspension",5,Suspension,3,"Gas, air and fluid suspension",5.0,,,(c)
416,5.3.6 (a) (i),"(a) The strength or continuity of the load bearing structure within 30cm of any sub-frame, spring or suspension component mounting (a ’prescribed area’): (i) is significantly reduced or inadequately repaired",Major,"Axles, wheels, tyres and suspension",5,Suspension,3,Complete suspension system,6.0,,,(a) (i)
417,5.3.6 (a) (ii),"(a) The strength or continuity of the load bearing structure within 30cm of any sub-frame, spring or suspension component mounting (a ’prescribed area’): (ii) is so weakened that control of the vehicle is likely to be adversely affected",Dangerous,"Axles, wheels, tyres and suspension",5,Suspension,3,Complete suspension system,6.0,,,(a) (ii)
418,6.1.1 (a) (i),(a) A main load-bearing structural member: (i) fractured or deformed such that structural rigidity is significantly reduced,Major,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(a) (i)
419,6.1.1 (a) (ii),(a) A main load-bearing structural member: (ii) fractured or deformed such that steering or braking is likely to be adversely affected,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(a) (ii)
420,6.1.1 (b) (i),(b) Strengthening plates or fastenings: (i) insecure,Major,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(b) (i)
421,6.1.1 (b) (ii),(b) Strengthening plates or fastenings: (ii) so insecure that structural rigidity is seriously reduced,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(b) (ii)
422,6.1.1 (c) (i),(c) Vehicle structure corroded to the extent that: (i) the rigidity of the assembly is significantly reduced,Major,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(c) (i)
423,6.1.1 (c) (ii),(c) Vehicle structure corroded to the extent that: (ii) steering or braking is likely to be adversely affected,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(c) (ii)
424,6.1.1 (d) (i),(d) A main load-bearing structural member modified or inadequately repaired such that: (i) the rigidity of the assembly is significantly reduced,Major,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(d) (i)
425,6.1.1 (d) (ii),(d) A main load-bearing structural member modified or inadequately repaired such that: (ii) steering or braking is likely to be adversely affected,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,General condition,1.0,,,(d) (ii)
426,6.1.2 (a),(a) Exhaust system has a major leak or is insecure,Major,"Body, structure and attachments",6,Structure and attachments,1,Exhaust system,2.0,,,(a)
427,6.1.2 (b) (i),(b) Exhaust fumes: (i) entering cabin,Major,"Body, structure and attachments",6,Structure and attachments,1,Exhaust system,2.0,,,(b) (i)
428,6.1.2 (b) (ii),(b) Exhaust fumes: (ii) causing a danger to health of persons on board,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Exhaust system,2.0,,,(b) (ii)
429,6.1.3 (a) (i),"(a) Fuel tank, pipe or hose: (i) insecure",Major,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(a) (i)
430,6.1.3 (a) (ii),"(a) Fuel tank, pipe or hose: (ii) insecure such that there is a risk of fire",Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(a) (ii)
431,6.1.3 (b) (i),"(b) Fuel system: (i) leaking, or missing or ineffective filler cap",Major,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(b) (i)
432,6.1.3 (b) (ii),(b) Fuel system: (ii) leaking excessively or a risk of fire,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(b) (ii)
433,6.1.3 (c) (i),(c) Fuel pipe or hose: (i) chafing,Minor,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(c) (i)
434,6.1.3 (c) (ii),(c) Fuel pipe or hose: (ii) damaged,Major,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(c) (ii)
435,6.1.3 (e),(e) Fire risk due to fuel tank shield or exhaust shield missing where fitted as original equipment,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(e)
436,6.1.3 (f),(f) Any part of an LPG/CNG/LNG or hydrogen system defective,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Fuel system,3.0,,,(f)
437,6.1.4 (a) (i),(a) Bumper: (i) insecure or with damage likely to cause injury when grazed or contacted,Major,"Body, structure and attachments",6,Structure and attachments,1,Bumpers,4.0,,,(a) (i)
438,6.1.4 (a) (ii),(a) Bumper: (ii) likely to become detached,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Bumpers,4.0,,,(a) (ii)
439,6.1.5 (a),(a) A spare wheel carrier fractured or insecure,Major,"Body, structure and attachments",6,Structure and attachments,1,Spare wheel carrier (if fitted),5.0,,,(a)
440,6.1.5 (b) (i),(b) A spare wheel: (i) insecure in carrier,Major,"Body, structure and attachments",6,Structure and attachments,1,Spare wheel carrier (if fitted),5.0,,,(b) (i)
441,6.1.5 (b) (ii),(b) A spare wheel: (ii) likely to become detached,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Spare wheel carrier (if fitted),5.0,,,(b) (ii)
442,6.1.6 (a),"(a) A towbar component damaged, defective, fractured or corroded",Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(a)
443,6.1.6 (b) (i),(b) A towbar component: (i) excessively worn,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(b) (i)
444,6.1.6 (b) (ii),(b) A towbar component: (ii) so worn it is likely to fail,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(b) (ii)
445,6.1.6 (c) (i),(c) A towbar attachment: (i) defective or insecure,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(c) (i)
446,6.1.6 (c) (ii),(c) A towbar attachment: (ii) likely to become detached,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(c) (ii)
447,6.1.6 (d),(d) A towbar safety device damaged or not operating correctly,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(d)
448,6.1.6 (e),(e) A towbar coupling indicator not working,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(e)
449,6.1.6 (f) (i),(f) Towbar: (i) obstructing the registration plate or any lamp,Minor,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(f) (i)
450,6.1.6 (f) (ii),(f) Towbar: (ii) obstructing the registration plate so that it is unreadable,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(f) (ii)
451,6.1.6 (g) (i),(g) Unsafe modification: (i) to towbar secondary components,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(g) (i)
452,6.1.6 (g) (ii),(g) Unsafe modification: (ii) to towbar primary components,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(g) (ii)
453,6.1.6 (h),(h) Coupling too weak,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(h)
454,6.1.6 (i) (i),(i) The strength or continuity of the load bearing structure within 30cm of any towbar mounting bracket: (i) is significantly reduced,Major,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(i) (i)
455,6.1.6 (i) (ii),(i) The strength or continuity of the load bearing structure within 30cm of any towbar mounting bracket: (ii) is so weakened that the towbar is likely to become detached,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Coupling mechanisms and towing equipment,6.0,,,(i) (ii)
456,6.1.7 (a) (i),(a) A transmission shaft: (i) securing bolts loose or missing,Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(a) (i)
457,6.1.7 (a) (ii),(a) A transmission shaft: (ii) likely to become detached,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(a) (ii)
458,6.1.7 (b) (i),(b) A transmission shaft bearing: (i) excessively worn,Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(b) (i)
459,6.1.7 (b) (ii),(b) A transmission shaft bearing: (ii) likely to break up,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(b) (ii)
460,6.1.7 (c) (i),"(c) A transmission: (i) joint, belt or chain excessively worn",Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(c) (i)
461,6.1.7 (c) (ii),(c) A transmission: (ii) so worn it is likely to fail,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(c) (ii)
462,6.1.7 (d) (i),(d) A transmission shaft flexible coupling: (i) excessively deteriorated,Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(d) (i)
463,6.1.7 (d) (ii),(d) A transmission shaft flexible coupling: (ii) so deteriorated it is likely to fail,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(d) (ii)
464,6.1.7 (e),(e) A transmission shaft bent or badly damaged,Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(e)
465,6.1.7 (f) (i),(f) A transmission shaft bearing housing: (i) fractured or insecure,Major,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(f) (i)
466,6.1.7 (f) (ii),(f) A transmission shaft bearing housing: (ii) likely to fail,Dangerous,"Body, structure and attachments",6,Structure and attachments,1,Transmission,7.0,,,(f) (ii)
